City,City,0-18,18-30,30-50,50-70,70+
Alabama,Alabama,8.333333333333334,33.333333333333336,50.0,8.333333333333334,0.0
Alaska,Alaska,0.0,0.0,50.0,25.0,25.0
Arizona,Arizona,0.0,36.206896551724135,53.44827586206897,10.344827586206897,0.0
Arkansas,Arkansas,0.0,50.0,20.0,10.0,20.0
California,California,1.0362694300518134,45.07772020725388,39.37823834196891,12.953367875647668,1.5544041450777202
Colorado,Colorado,3.0303030303030303,39.39393939393939,48.484848484848484,6.0606060606060606,3.0303030303030303
Connecticut,Connecticut,0.0,22.22222222222222,55.55555555555556,11.11111111111111,11.11111111111111
Delaware,Delaware,0.0,33.333333333333336,50.0,16.666666666666668,0.0
District of Columbia,District of Columbia,0.0,50.0,50.0,0.0,0.0
Florida,Florida,3.1746031746031744,34.92063492063492,42.857142857142854,18.253968253968253,0.7936507936507936
Georgia,Georgia,2.5,40.0,45.0,12.5,0.0
Hawaii,Hawaii,0.0,25.0,50.0,25.0,0.0
Idaho,Idaho,0.0,60.0,40.0,0.0,0.0
Illinois,Illinois,17.647058823529413,44.11764705882353,26.470588235294116,5.882352941176471,5.882352941176471
Indiana,Indiana,0.0,45.833333333333336,45.833333333333336,4.166666666666667,4.166666666666667
Iowa,Iowa,0.0,30.0,60.0,10.0,0.0
Kansas,Kansas,5.2631578947368425,47.36842105263158,26.31578947368421,15.789473684210526,5.2631578947368425
Kentucky,Kentucky,0.0,22.22222222222222,38.888888888888886,38.888888888888886,0.0
Louisiana,Louisiana,8.0,24.0,52.0,16.0,0.0
Maine,Maine,0.0,22.22222222222222,22.22222222222222,44.44444444444444,11.11111111111111
Maryland,Maryland,3.5714285714285716,42.857142857142854,46.42857142857143,7.142857142857143,0.0
Massachusetts,Massachusetts,0.0,55.55555555555556,38.888888888888886,5.555555555555555,0.0
Michigan,Michigan,16.666666666666668,44.44444444444444,33.333333333333336,5.555555555555555,0.0
Minnesota,Minnesota,0.0,47.36842105263158,15.789473684210526,31.57894736842105,5.2631578947368425
Mississippi,Mississippi,0.0,50.0,44.44444444444444,5.555555555555555,0.0
Missouri,Missouri,3.4482758620689653,48.275862068965516,41.37931034482759,6.896551724137931,0.0
Montana,Montana,0.0,40.0,40.0,20.0,0.0
Nebraska,Nebraska,0.0,10.0,80.0,10.0,0.0
Nevada,Nevada,0.0,43.75,56.25,0.0,0.0
New Hampshire,New Hampshire,0.0,0.0,100.0,0.0,0.0
New Jersey,New Jersey,4.166666666666667,33.333333333333336,54.166666666666664,4.166666666666667,4.166666666666667
New Mexico,New Mexico,3.4482758620689653,27.586206896551722,55.172413793103445,13.793103448275861,0.0
New York,New York,2.2222222222222223,28.88888888888889,44.44444444444444,22.22222222222222,2.2222222222222223
North Carolina,North Carolina,4.878048780487805,43.90243902439025,31.70731707317073,17.073170731707318,2.4390243902439024
North Dakota,North Dakota,0.0,0.0,100.0,0.0,0.0
Ohio,Ohio,2.127659574468085,31.914893617021278,53.191489361702125,12.76595744680851,0.0
Oklahoma,Oklahoma,0.0,40.90909090909091,50.0,4.545454545454546,4.545454545454546
Oregon,Oregon,0.0,23.529411764705884,58.8235294117647,11.764705882352942,5.882352941176471
Pennsylvania,Pennsylvania,0.0,38.46153846153846,38.46153846153846,23.076923076923077,0.0
Rhode Island,Rhode Island,0.0,100.0,0.0,0.0,0.0
South Carolina,South Carolina,0.0,31.57894736842105,42.10526315789474,26.31578947368421,0.0
South Dakota,South Dakota,0.0,66.66666666666667,33.333333333333336,0.0,0.0
Tennessee,Tennessee,3.7037037037037037,33.333333333333336,44.44444444444444,18.51851851851852,0.0
Texas,Texas,2.898550724637681,34.78260869565217,49.27536231884058,10.144927536231885,2.898550724637681
Utah,Utah,10.0,30.0,60.0,0.0,0.0
Vermont,Vermont,0.0,0.0,100.0,0.0,0.0
Virginia,Virginia,4.761904761904762,42.857142857142854,42.857142857142854,9.523809523809524,0.0
Washington,Washington,0.0,33.333333333333336,60.0,6.666666666666667,0.0
West Virginia,West Virginia,0.0,20.0,40.0,40.0,0.0
Wisconsin,Wisconsin,4.761904761904762,33.333333333333336,52.38095238095238,9.523809523809524,0.0
Wyoming,Wyoming,0.0,33.333333333333336,33.333333333333336,33.333333333333336,0.0
